Date exported;Status;Employee number (salary administration);Branch;Hour Code;Journey date;Journey Distance;Distance Unit of Measure;Mobility type;Travel route;Fuel type
45510;Exported;00000769;VANL;VANL - Gemeente Amsterdam - ReOrganisatie VTH - Gemeente Amsterdam Fixed price;45505;2;km;Bicycle or Walking;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM Cobot Project Fase 1 & Project Gedeelte - Schiphol Budget;45504;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM Cobot Project Fase 1 & Project Gedeelte - Schiphol Budget;45504;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM Cobot Project Fase 1 & Project Gedeelte - Schiphol Budget;45503;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM Cobot Project Fase 1 & Project Gedeelte - Schiphol Budget;45503;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM SPOC Tilhulpen Fase 1 & ASM Gedeelte - Schiphol Budget;45502;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM SPOC Tilhulpen Fase 1 & ASM Gedeelte - Schiphol Budget;45502;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM SPOC Tilhulpen Fase 1 & ASM Gedeelte - Schiphol Budget;45498;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM SPOC Tilhulpen Fase 1 & ASM Gedeelte - Schiphol Budget;45498;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM Cobot Project Fase 1 & Project Gedeelte - Schiphol Budget;45497;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM Cobot Project Fase 1 & Project Gedeelte - Schiphol Budget;45497;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM Cobot Project Fase 1 & Project Gedeelte - Schiphol Budget;45496;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM Cobot Project Fase 1 & Project Gedeelte - Schiphol Budget;45496;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM Cobot Project Fase 1 & Project Gedeelte - Schiphol Budget;45495;27;km;Public Transport;Home <> Client;
45510;Exported;00000597;VANL;VANL - Schiphol - ASM Cobot Project Fase 1 & Project Gedeelte - Schiphol Budget;45495;27;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45498;48;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45498;48;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45496;59;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45496;59;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45483;48;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45483;48;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45482;49;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45482;49;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45481;49;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45481;49;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45478;49;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45478;49;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45477;49;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45506;50;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45506;50;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45505;95;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45477;48;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45476;48;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45476;48;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45475;48;km;Public Transport;Home <> Client;
45510;Exported;00000696;VANL;VANL - BAM - IDO Residential - BAM Self-billing;45475;48;km;Public Transport;Home <> Client;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45505;95;km;Public Transport;Home <> Client;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45503;50;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45503;50;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45497;45;km;Public Transport;Home <> Client;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45497;45;km;Public Transport;Home <> Client;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45495;45;km;Public Transport;Home <> Client;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45495;45;km;Public Transport;Home <> Client;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45492;50;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45492;50;km;Public Transport;Home <> Valcon Office;
45510;Exported;00000620;VANL;VANL - de Volksbank - Finance Data Warehouse 2.0 - de Volksbank Hourly;45491;95;km;Public Transport;Home <> Client;
45510;Exported;00000723;VANL;VANL - IMG - Duurzaam Herstel Fase 1 - Vanberkel Hourly grouped;45506;41;km;Public Transport;Home <> Client;
45510;Exported;00000723;VANL;VANL - IMG - Duurzaam Herstel Fase 1 - Vanberkel Hourly grouped;45506;41;km;Public Transport;Home <> Client;
45510;Exported;10115634;VANL;VANL - Asiel en Migratie - nieuwe Autoriteit I&R proces - BMC Self-billing;45484;55;km;Personal Car;Home <> Valcon Office;Diesel
45510;Exported;10115634;VANL;VANL - Asiel en Migratie - nieuwe Autoriteit I&R proces - BMC Self-billing;45484;55;km;Personal Car;Home <> Valcon Office;Diesel
45510;Exported;10115634;VANL;VANL - Asiel en Migratie - nieuwe Autoriteit I&R proces - BMC Self-billing;45483;166;km;Personal Car;Home <> Client;Diesel
45510;Exported;10115634;VANL;VANL - Asiel en Migratie - nieuwe Autoriteit I&R proces - BMC Self-billing;45483;17;km;Personal Car;Home <> Client;Diesel
45510;Exported;10115634;VANL;VANL - Asiel en Migratie - nieuwe Autoriteit I&R proces - BMC Self-billing;45482;17;km;Personal Car;Home <> Client;Diesel
45510;Exported;10115634;VANL;VANL - Asiel en Migratie - nieuwe Autoriteit I&R proces - BMC Self-billing;45482;17;km;Personal Car;Home <> Client;Diesel
45510;Exported;10115634;VANL;VANL - Asiel en Migratie - nieuwe Autoriteit I&R proces - BMC Self-billing;45481;161;km;Personal Car;Home <> Client;Diesel
45510;Exported;10115634;VANL;VANL - Asiel en Migratie - nieuwe Autoriteit I&R proces - BMC Self-billing;45481;106;km;Personal Car;Home <> Client;Diesel
